k,mean
1.1.1.2.1.2.2.2.2.2.1.2.1.2.2.2.2.2.2.2.2.2,3.6601455904737055
1.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.1,3.075683330664747
1.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2,3.6953947788886237
1.1.1.2.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2,3.375522741967991
1.1.1.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1,2.581987346766264
1.1.1.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2,2.9659484673330043
1.1.1.2.2.2.2.2.2.1.2.2.2.1.2.2.2.2.2.2.2.2,1.071104890992974
1.1.1.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.1,1.364338958786731
1.1.1.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2,2.000897103821821
1.1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2,2.9958531782699023
1.1.1.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2,2.6116142126550836
1.1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2,2.368266848839395
1.1.1.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2.2.2.2.2,2.8198564404763915
1.1.1.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2,2.9986691444747398
1.1.1.2.2.2.3.2.2.1.2.2.2.1.2.1.2.1.2.2.2.2,0.8880514989104834
1.1.1.2.2.2.3.2.2.1.2.2.2.1.2.1.2.2.2.2.2.2,0.8551852590419248
1.1.1.2.2.2.3.2.2.1.2.2.2.1.2.2.2.2.2.2.2.2,1.0088278356768297
1.1.1.2.2.2.3.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2,1.1579741890379178
1.1.1.2.2.2.3.3.1.1.2.2.1.2.1.2.2.1.2.2.2.2,1.360012625452561
